tableId,order,mfId,mfName
Table1,0,62,360 ONE Mutual Fund
Table2,1,85,Abakkus Mutual Fund
Table3,2,39,ABN  AMRO Mutual Fund
Table4,3,3,Aditya Birla Sun Life Mutual Fund
Table5,4,50,AEGON Mutual Fund
Table6,5,1,Alliance Capital Mutual Fund
Table7,6,80,Angel One Mutual Fund
Table8,7,53,Axis Mutual Fund
Table9,8,75,Bajaj Finserv Mutual Fund
Table10,9,48,Bandhan Mutual Fund
Table11,10,46,Bank of India Mutual Fund
Table12,11,4,Baroda BNP Paribas Mutual Fund
Table13,12,36,Benchmark Mutual Fund
Table14,13,59,BNP Paribas Mutual Fund
Table15,14,32,Canara Robeco Mutual Fund
Table16,15,81,Capitalmind Mutual Fund
Table17,16,84,Choice Mutual Fund
Table18,17,60,Daiwa Mutual Fund
Table19,18,31,DBS Chola Mutual Fund
Table20,19,38,Deutsche Mutual Fund
Table21,20,6,DSP Mutual Fund
Table22,21,47,Edelweiss Mutual Fund
Table23,22,40,Fidelity Mutual Fund
Table24,23,51,Fortis Mutual Fund
Table25,24,27,Franklin Templeton Mutual Fund
Table26,25,8,GIC Mutual Fund
Table27,26,49,Goldman Sachs Mutual Fund
Table28,27,63,Groww Mutual Fund
Table29,28,9,HDFC Mutual Fund
Table30,29,76,Helios Mutual Fund
Table31,30,37,HSBC Mutual Fund
Table32,31,20,ICICI Prudential Mutual Fund
Table33,32,57,IDBI Mutual Fund
Table34,33,11,IL\u0026F S Mutual Fund
Table35,34,65,IL\u0026FS Mutual Fund (IDF)
Table36,35,14,ING Mutual Fund
Table37,36,42,Invesco Mutual Fund
Table38,37,70,ITI Mutual Fund
Table39,38,82,Jio BlackRock Mutual Fund
Table40,39,16,JM Financial Mutual Fund
Table41,40,43,JPMorgan Mutual Fund
Table42,41,17,Kotak Mahindra Mutual Fund
Table43,42,56,L\u0026T Mutual Fund
Table44,43,18,LIC Mutual Fund
Table45,44,69,Mahindra Manulife Mutual Fund
Table46,45,45,Mirae Asset Mutual Fund
Table47,46,19,Morgan Stanley Mutual Fund
Table48,47,55,Motilal Oswal Mutual Fund
Table49,48,54,Navi Mutual Fund
Table50,49,21,Nippon India Mutual Fund
Table51,50,73,NJ Mutual Fund
Table52,51,78,Old Bridge Mutual Fund
Table53,52,58,PGIM India Mutual Fund
Table54,53,44,PineBridge Mutual Fund
Table55,54,34,PNB Mutual Fund
Table56,55,64,PPFAS Mutual Fund
Table57,56,10,Principal Mutual Fund
Table58,57,13,quant Mutual Fund
Table59,58,41,Quantum Mutual Fund
Table60,59,74,Samco Mutual Fund
Table61,60,22,SBI Mutual Fund
Table62,61,52,Shinsei Mutual Fund
Table63,62,67,Shriram Mutual Fund
Table64,63,2,Standard Chartered Mutual Fund
Table65,64,24,SUN F\u0026C Mutual Fund
Table66,65,33,Sundaram Mutual Fund
Table67,66,25,Tata Mutual Fund
Table68,67,26,Taurus Mutual Fund
Table69,68,83,The Wealth Company Mutual Fund
Table70,69,72,Trust Mutual Fund
Table71,70,79,Unifi Mutual Fund
Table72,71,61,Union Mutual Fund
Table73,72,28,UTI Mutual Fund
Table74,73,71,WhiteOak Capital Mutual Fund
Table75,74,77,Zerodha Mutual Fund
Table76,75,29,Zurich India Mutual Fund
